iter	RMSE
0	29.84079479
1	29.75275394
2	29.66763439
3	29.59512217
4	29.52943678
5	29.471185
6	29.41378639
7	29.36616094
8	29.3199997
9	29.27788431
10	29.24374483
11	29.2029249
12	29.17228262
13	29.13515223
14	29.10504556
15	29.07738353
16	29.05133659
17	29.0229492
18	28.99824909
19	28.9710634
20	28.95005147
21	28.93283005
22	28.91273297
23	28.8925771
24	28.87742152
25	28.86223849
26	28.83965295
27	28.8238779
28	28.8098025
29	28.79565531
30	28.78140267
31	28.7684552
32	28.7540545
33	28.74110317
34	28.73005678
35	28.71552389
36	28.70393446
37	28.69182126
38	28.6774644
39	28.6694247
40	28.66135754
41	28.65076707
42	28.64074378
43	28.62953511
44	28.6197757
45	28.61269385
46	28.60672094
47	28.59661543
48	28.58773621
49	28.57503376
50	28.56795994
51	28.5594167
52	28.55004812
53	28.539232
54	28.52565559
55	28.51867064
56	28.51294926
57	28.50684085
58	28.49983227
59	28.49391474
60	28.48554945
61	28.47694617
62	28.46941992
63	28.46018723
64	28.451318
65	28.44350746
66	28.43541708
67	28.43046404
68	28.42564205
69	28.4165895
70	28.41231459
71	28.40512386
72	28.3985406
73	28.39161807
74	28.38779352
75	28.38313263
76	28.37770426
77	28.37128655
78	28.36377394
79	28.35726835
80	28.35162837
81	28.34663182
82	28.34219283
83	28.33707617
84	28.33222804
85	28.32834458
86	28.32314225
87	28.31531198
88	28.30948866
89	28.30403937
90	28.2988577
91	28.29249148
92	28.28840928
93	28.28554796
94	28.28167644
95	28.27773632
96	28.27194089
97	28.26895915
98	28.26551904
99	28.26186585
100	28.2554411
101	28.25044771
102	28.2471731
103	28.24356659
104	28.23867853
105	28.23508561
106	28.22970732
107	28.22570992
108	28.22047829
109	28.21819419
110	28.21521583
111	28.21229596
112	28.20958888
113	28.20602475
114	28.20285363
115	28.19999039
116	28.19667394
117	28.19285556
118	28.18993065
119	28.18624329
120	28.1818381
121	28.17700616
122	28.17307979
123	28.1684375
124	28.16604843
125	28.16199048
126	28.15941577
127	28.15562324
128	28.1521172
129	28.14832305
130	28.14463575
131	28.1413599
132	28.13820774
133	28.1364928
134	28.13342229
135	28.12974675
136	28.12550092
137	28.12151517
138	28.11941954
139	28.11608773
140	28.11282217
141	28.11102737
142	28.10773627
143	28.10492965
144	28.10316985
145	28.10040881
146	28.09849388
147	28.09583904
148	28.09303207
149	28.09058331
150	28.08900974
151	28.08624899
152	28.0837192
153	28.08136508
154	28.07904109
155	28.07732459
156	28.07426893
157	28.07138616
158	28.06880733
159	28.06765442
160	28.06534814
161	28.063127
162	28.0604941
163	28.05880366
164	28.05654248
165	28.05377169
166	28.05103753
167	28.04924998
168	28.04644587
169	28.04409195
170	28.04170091
171	28.04004918
172	28.0378371
173	28.03515208
174	28.03297212
175	28.03051392
176	28.02934377
177	28.02932497
178	28.02610295
179	28.02312794
180	28.02201168
181	28.02080247
182	28.01756992
183	28.01516157
184	28.01208615
185	28.01013988
186	28.00791675
187	28.0063853
188	28.00458691
189	28.00294153
190	28.00121526
191	27.99934974
192	27.99787638
193	27.99641205
194	27.99411934
195	27.99261945
196	27.99077956
197	27.9886913
198	27.98763125
199	27.98595986
200	27.98443435
201	27.98304163
202	27.98107267
203	27.97887424
204	27.97786235
205	27.97626123
206	27.97456619
207	27.97220717
208	27.97004318
209	27.96782529
210	27.96571595
211	27.96382591
212	27.96239552
213	27.96121487
214	27.96028628
215	27.95926973
216	27.95657271
217	27.95538568
218	27.95351195
219	27.95273606
220	27.95174142
221	27.94905527
222	27.94766839
223	27.94668098
224	27.94495966
225	27.94355816
226	27.9422521
227	27.94017508
228	27.93899247
229	27.9380108
230	27.93650223
231	27.93553352
232	27.9347722
233	27.93361075
234	27.93188742
235	27.93069151
236	27.92976157
237	27.92813434
238	27.92647787
239	27.92527409
240	27.92372903
241	27.92285217
242	27.92214246
243	27.92051633
244	27.9191906
245	27.918146
246	27.91655268
247	27.91487767
248	27.91381793
249	27.9130559
250	27.91223437
251	27.91104885
252	27.90953913
253	27.9086719
254	27.90774045
255	27.90658504
256	27.90534888
257	27.90429528
258	27.90252234
259	27.90252201
260	27.90157329
261	27.90081575
262	27.89893696
263	27.89758356
264	27.89659761
265	27.89551182
266	27.89479285
267	27.89392646
268	27.8928245
269	27.89185216
270	27.89081658
271	27.88987114
272	27.88844987
273	27.8870691
274	27.88620276
275	27.88548758
276	27.88449528
277	27.88390301
278	27.88390274
279	27.88316926
280	27.88208535
281	27.88119596
282	27.87997458
283	27.87918573
284	27.87843316
285	27.87694043
286	27.87608995
287	27.87475789
288	27.87365834
289	27.87305609
290	27.87245262
291	27.87139227
292	27.87034826
293	27.86994169
294	27.86994148
295	27.86878302
296	27.86729481
297	27.86642796
298	27.8653308
299	27.8643801
300	27.86344325
301	27.86183101
302	27.86077198
303	27.86026117
304	27.85860178
305	27.85744047
306	27.85643997
307	27.8555195
308	27.85497662
309	27.85356875
310	27.85268157
311	27.85237152
312	27.85194532
313	27.85147563
314	27.85070067
315	27.84970136
316	27.84836052
317	27.84729206
318	27.84635001
319	27.84583192
320	27.84531652
321	27.84401438
322	27.84286416
323	27.84218193
324	27.84102986
325	27.83989314
326	27.83894563
327	27.83848642
328	27.83770737
329	27.83698397
330	27.83578089
331	27.83502993
332	27.83450677
333	27.83424292
334	27.83388144
335	27.83321426
336	27.83206854
337	27.8305593
338	27.83005948
339	27.8291874
340	27.82746775
341	27.82674426
342	27.82617377
343	27.82570694
344	27.82477135
345	27.82364397
346	27.82296985
347	27.82232575
348	27.82156511
349	27.82106358
350	27.82017082
351	27.81913721
352	27.81858539
353	27.81811327
354	27.81719222
355	27.81679231
356	27.81637025
357	27.81582286
358	27.81479303
359	27.81451191
360	27.81401971
361	27.8136009
362	27.81304279
363	27.81155412
364	27.81102507
365	27.81039298
366	27.80966742
367	27.80896756
368	27.80795404
369	27.80755742
370	27.80660058
371	27.80590671
372	27.80516365
373	27.80450034
374	27.80378028
375	27.80330822
376	27.80330815
377	27.80266747
378	27.80177381
379	27.80080295
380	27.80015438
381	27.79922697
382	27.798713
383	27.79834633
384	27.79761272
385	27.79727523
386	27.79638014
387	27.79598561
388	27.79541157
389	27.79496787
390	27.79441182
391	27.79354217
392	27.79311112
393	27.79202906
394	27.79126533
395	27.79072168
396	27.78930162
397	27.78856846
398	27.78810601
399	27.78720198
400	27.78669831
401	27.78637771
402	27.78573515
403	27.78539349
404	27.78475205
405	27.78444168
406	27.78404793
407	27.78348942
408	27.78318143
409	27.78248644
410	27.78183815
411	27.78125943
412	27.7806934
413	27.78033437
414	27.77962122
415	27.77926878
416	27.77869125
417	27.77792476
418	27.77738789
419	27.77704113
420	27.7763182
421	27.77593163
422	27.77532028
423	27.77503161
424	27.77428999
425	27.77386353
426	27.77315425
427	27.77245847
428	27.77211081
429	27.77167663
430	27.77124037
431	27.77077229
432	27.77028528
433	27.76961681
434	27.76934204
435	27.76858757
436	27.76795835
437	27.76709907
438	27.76665637
439	27.76593129
440	27.76543761
441	27.7649199
442	27.76381414
443	27.76361225
444	27.76336504
445	27.76286726
446	27.76215623
447	27.76202589
448	27.76177811
449	27.76142708
450	27.76081649
451	27.76057642
452	27.76017769
453	27.75984971
454	27.75928288
455	27.75819583
456	27.75810172
457	27.75789109
458	27.75737361
459	27.75690143
460	27.75647086
461	27.75583759
462	27.75545055
463	27.75500526
464	27.75480266
465	27.75426973
466	27.75400519
467	27.75357923
468	27.75322542
469	27.7529638
470	27.75286944
471	27.75265692
472	27.75230435
473	27.75160395
474	27.75106997
475	27.75056944
476	27.74987022
477	27.74928072
478	27.74874257
479	27.7481286
480	27.74796379
481	27.74753871
482	27.74728726
